iter	Passed	Remaining
0	1	124
1	2	141
2	3	117
3	4	102
4	4	94
5	5	90
6	6	86
7	7	84
8	8	83
9	8	80
10	9	78
11	10	76
12	11	75
13	12	74
14	12	72
15	13	71
16	14	70
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	53
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	53	26
67	54	25
68	55	24
69	55	23
70	57	23
71	58	22
72	58	21
73	59	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	17
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
